Control Name,English,Romanian,,
lblSwimmerKillerAnsPolLong,"""My father had a pipedream, an illusion, and we would joke on my escapades for the swim team I would bring back pieces of a gun and assemble it and kill Ceaușescu. It was a dark joke for us. Another dissident in the 80s- had the same plan as my father, to shoot Ceaușescu, and my father would say the same, he said ‘I shoot him, they catch and kill me, but I would rid 20 million people from this horrible fate.’"" - Activist","""Tatal meu avea un o idee utopică, o iluzie. Glumeam pornind de la turneele mele cu echipa de înot, urma să aduc inapoi acasă bucăți de arma și să le asamblăm ca să îl omorâm pe Ceaușescu. A fost o formă de umor negru pentru noi. Un alt disident, în anii '80,  avea același plan ca tatăl meu, să-l împuște pe Ceaușescu, iar tatăl meu spunea același lucru ‘îl împușc, mă prind și mă ucid, dar aș scăpa 20 de milioane de oameni de această soartă oribilă.’"" - Activist",,
lblSwimmerKillerQ,My Father's Secret Plan,Planul secret al tatălui meu ,,
lblSwimmerKillerAns,"""My father had a pipedream, an illusion, and we would joke on my escapades for the swim team I would bring back pieces of a gun…"" - Activist","""Tatal meu avea un o idee utopică, o iluzie. Glumeam pornind de la turneele mele cu echipa de înot, urma să aduc inapoi acasă bucăți de arma și să le asamblăm"" Activist",,
lblJapaneseMachinesAnsPolLong,"""This Japanese guy [visited Bucharest on a business venture where he] brought some machines and tools that needed to be explained how to work; to supervise the workers in order for them to learn how to use them. He would say something at the end of the day, 'Sayonara' and something else in Japanese that no one understood and everyday would say the same thing until the contract expired, and what did he say every day? He would say 'Goodbye and I'm sorry I didn’t participate in your strike' - it was sympathetic, as the economy was going so badly, not only due to Ceaușescu's poor leadership and idiotic investments in heavy industries, [which was] unsustainable, [there were] no raw materials, no energy, not [a big] enough of work force, but people seeing that everything was so mismanaged and being so sick of the leadership and the system, they would not work hard. They would sit there and have coffees and cigarettes. My father and I worked hard."" - Activist","""Ei au adus în institut pe acest tip japonez, care a venit cu  niște mașini/unelte pentru care trebuia să facă un instructaj și să supravegheze lucrătorii pentru ca ei să învețe cum să le folosească corect. El spunea ceva la sfârşitul zilei, 'Sayonara' şi altceva neinteligibil în japoneză  în fiecare zi până la expirarea contractului. Ce a spus el în fiecare zi? Spunea: 'La revedere și îmi pare rău că nu am participat la greva voastră' - a fost simpatic, deoarece economia mergea atât de rău, nu numai din cauza conducerii slabe a lui Ceaușescu și a investițiilor idioate în industria grea, [care era] nesustenabilă, [nu exista] materie primă, energie, nu  era suficientă forță de muncă, iar  oamenii văzând că totul era atât de prost gestionat și fiind sătui de conducere și de sistem, nu munceau mai deloc. Stăteau acolo la cafea şi ţigări. Tatăl meu și cu mine am muncit din greu."" - Activist",,
lblJapaneseMachinesQ,Ceaușescu's Idiotic Investments,Investițiile iresponsabile ale lui Ceaușescu,,
lblJapaneseMachinesAns,"""The economy was going so badly, not only due to Ceaușescu's poor leadership and idiotic investments in heavy industries,- unsustainable, no raw materials, no energy..."" - Activist","Economia mergea atât de rău, nu numai din cauza conducerii slabe a lui Ceaușescu și a investițiilor idioate în industria grea, [care era] nesustenabilă, [nu exista] materie primă, energie, nu  era suficientă forță de muncă, iar  oamenii văzând că totul era atât de prost gestionat și fiind sătui de conducere și de sistem, nu munceau mai deloc. Stăteau acolo la cafea şi ţigări. Tatăl meu și cu mine am muncit din greu."" - Activist",,
lblCeausescuMailAnsPolLong,"""[As children,] we had this gap between what we had to say in public and what we were thinking about what is happening. We were very aware of this gap since a very young age, that in society, when we speak to our teachers, and even to our friends and other kids, we say some things, but when we are with our family, we can express the truth. A joke we knew was:
Ceaușescu goes to the post office, to see how [well] the postal stamp with his face on it is sold - if it sells well.
And the employee at the post office said 'it doesn't sell'.
'Why?'
'It doesn't stick to the envelope.'
Ceaușescu asks for a postal stamp. He spits on the back of the stamp and he said, 
'Look, it sticks.'
Well, but all the people spit on the other side"" - Museum Director","""[Copii fiind] am avut această dualitate între ceea ce aveam de spus în public și ceea ce gândeam referitor la ceea ce se întâmplă. Am fost foarte conștienți de această dualitate încă de la o vârstă fragedă, că în societate, atunci când vorbim cu profesorii noștri, și chiar cu prietenii noștri și alți copii, spunem unele lucruri, dar doar atunci când suntem cu familia noastră putem exprima adevărul. O glumă pe care o ştiam era:
Ceauşescu merge la poştă, să vadă cum se vinde timbrul poștal cu fața lui.
Iar angajatul de la oficiul poştal spune 'nu se vinde'.
'De ce?'
'Nu se lipeşte de plic.'
Ceauşescu cere un timbru. Scuipă pe spatele lui și spune 
'Uite, se lipește.'
'Ei bine, dar toţi oamenii scuipă pe cealaltă parte."" - Director de muzeu",,
lblCeausescuMailQ,The Things We Couldn't Say,Lucrurile pe care nu le puteam spune,,
lblCeausescuMailAns,"""[As children,] we had this gap between what we had to say in public and what we were thinking about what is happening…"" - Museum Director","""[Copii fiind] am avut această dualitate între ceea ce aveam de spus în public și ceea ce gândeam referitor la ceea ce se întâmplă.",,
lblSchoolPropagandaAnsPolLong,"""We also had propaganda. We started our days in school singing the Romanian anthem/hymn. The anthem was a story about our country, how big and great it is, how rich it is, how happy we are, how happy our parents and grandparents are, how beautiful life is here. But not a word about the history."" - Museum Director","""Am avut și propagandă. Ne începeam ziua la școală cântând imnul. Imnul era o poveste  despre țara noastră, cât de mare și minunată este, cât de bogată este, cât de fericiți suntem, cât de fericiți sunt părinții și bunicii noștri, cât de frumoasă este viața aici. Dar nici un cuvânt despre istorie, doar propagandă."" - Director de muzeu",,
lblSchoolPropagandaQ,A 'Beautiful Life',O viață ¨frumoasă¨ ,,
lblSchoolPropagandaAns,"""We also had propaganda. We started our days in school singing the Romanian anthem/hymn. The anthem was a story…"" - Museum Director","""Am avut și propagandă. Ne începeam ziua la școală cântând imnul. Imnul era o poveste",,
lblColdHandsAnsPolLong,"""I was going to college (in the 70s) and in class, we had to write with gloves and jackets on in the winter, it was extremely cold, no heating in the classroom. One of the little details, similar to home too, it was very cold. No hot water, but my father taught me how to take cold showers- I admired him for that. Transportation in Bucharest was terrible - people were trying to catch buses which were more and more rare, and they would try and hang on the doorways in very risky ways- climbing on top of one another, pretty ugly scenes."" - Activist","""Mergeam la facultate (în anii '70) și în clasă, trebuia să scriem cu mănuși și jachete în timpul iernii, era extrem de rece, fără încălzire în clasă. Unul dintre micile detalii, similar cu cel de acasă, era foarte frig. Fără apă caldă, dar tatăl meu m-a învățat cum să fac dușuri reci - l-am admirat pentru asta. Transportul în Bucureşti era teribil - oamenii încercau să prindă autobuze care erau din ce în ce mai rare şi încercau să stea pe uşi în moduri foarte riscante - urcând unul peste altul, scene destul de urâte."" - Activist",,
lblColdHandsQ,The Cold We Lived In,Frigul în care trăiam,,
lblColdHandsAns,"""I was going to college (in the 70s) and in class, we had to write with gloves and jackets on in the winter, it was extremely cold…"" - Activist","""Mergeam la facultate (în anii '70) și în clasă, trebuia să scriem cu mănuși și jachete în timpul iernii, era extrem de rece""",,
lblSoftTomatoAnsPolLong,"""When I was younger my mother [had] bread and she cut it in three pieces. The first one in the morning with a cup of tea, the middle one in the lunch with some soup, tomato soup, a very soft soup. And the third one with the dinner."" - AFDPR Member","""Când eram copil, mama mea tăia pâinea în trei bucăți. Prima dimineața cu o ceașcă de ceai, bucata de mijloc la prânz cu puțină supă de roșii, o supa foarte nesățioasă , iar ultima o serveam cu cina."" - Membru AFDPR",,
lblSoftTomatoQ,One Slice at a Time,Câte o felie,,
lblSoftTomatoAns,"""When I was younger my mother cut bread and she cut it in three pieces…"" - AFDPR Member","""Când eram copil, mama mea tăia pâinea în trei bucăți.''",,
lblDestinyAnsPolLong,"""Of course I was young and my memory is related to my faculty and it's okay because we were young. But, I was [always] thinking that my destiny was completely destroyed. And I remember after 1990 when we are discussing with the people and it was very common to discuss about that period. And I was not complaining. My style is not to complain, it's just to fight. But when we are discussing one of my friends is saying, 'Come on, why are you saying that it was bad?' 'Look, you are an engineer - this was done only with the support of communism. If you are not in the communism, who knows what you would be doing now?' And I said, 'No, I never asked the communists to prepare me as a human being. I can manage my life myself.' And I was never thinking that I would become an engineer. My dream was to be in my village and to manage the activity of my family. That was my destiny. Not to be an engineer and to be in this [higher] position in Bucharest to discuss about the policy of Romania and so on."" - AFDPR Member","""Bineînțeles că eram tânăr și memoria mea este legată de anii de studenție și este în regulă pentru că eram tineri. Dar, mă gândesc [mereu] că destinul meu a fost complet distrus. Şi îmi amintesc că după 1990, când discutăm cu oamenii şi era o obișnuință să discutăm despre trecutul recent imediat după revoluție. Nu mă plângeam. Stilul meu nu este să mă plâng, ci doar să lupt. Dar când în discuții apărea întrebarea  'Pe bune, de ce spui că a fost rău?' Uite, ești inginer - asta s-a făcut doar cu sprijinul comunismului. Dacă nu era comunismul, cine știe ce ai face acum?'  Eu le spuneam ', Nu, nu i-am rugat niciodată pe comunişti să mă pregătească ca fiinţă umană. Îmi pot gestiona viața singur. Nu m-am gândit niciodată că voi deveni inginer. Visul meu era să fiu în satul meu și să am propria familie acolo. Acesta ar fi fost destinul meu. Nu să fiu inginer în această poziţie [mai înaltă] la Bucureşti pentru a discuta despre politica României şi aşa mai departe."" - Membru AFDPR",,
lblDestinyQ,I Could've Lived Another Life,Puteam să am o altfel de viață,,
lblDestinyAns,"""I was [always] thinking that my destiny was completely destroyed..."" - AFDPR Member",Mă gândesc [mereu] că destinul meu a fost complet distrus.,,
lblTeacherBeatingAnsPolLong,"""My teacher in primary school from 1st-4th - she would beat us. Pulling our hair, hitting students’ head on the wall. I never told my parents. I realized it wasn’t okay when I grew up, [but back then] it was normal, somehow."" - School Teacher","""Profesoara mea din şcoala primară, de la clasa 1-a până în clasa a 4 4-a - ne bătea cu orice ocazie. Ne trăgea de păr, ne dădea cu capul de pereți. Nu le-am spus niciodată părinților mei. Mi-am dat seama că nu era bine abia când am crescut, [dar în vremea aia] era normal, cumva."" - Profesor de școală",,
lblTeacherBeatingQ,Back Then at School,"Pe vremea aceea, la școală",,
lblTeacherBeatingAns,"""My teacher in primary school  from 1st-4th - she would beat us…"" - School Teacher","""Profesoara mea din şcoala primară, de la clasa 1-a până în clasa a 4-a - ne bătea cu orice ocazie.''",,
lblButterWhyAnsPolLong,"""My wife received four portions of butter because of our three kids, and the woman behind her, a colleague of mine didn't recognize my wife. And she said 'why are you giving so many packages!? - just one package, no matter how many children there are, we also want some packages!"" - AFDPR Member","""Soţia mea a primit patru porţii de unt fiindcă aveam trei copii, iar femeia din spatele ei, o colegă de-a mea, care nu a recunoscut-o pe soţia mea, a spus 'de ce dai atât de multe pachete!? - doar un singur pachet, indiferent câți copii are, vrem și noi pachetele noastre!"" - Membru AFDPR",,
lblButterWhyQ,Just One Package!,Doar un singur pachet! ,,
lblButterWhyAns,"""Why are you giving so many packages!? - just one package, no matter how many children there are, we also want some packages…"" - AFDPR Member","De ce dai atât de multe pachete!? - doar un singur pachet, indiferent câți copii are, vrem și noi pachetele noastre!"" - Membru AFDPR",,
lblStolenHorseAnsPolLong,"""My grandparents lived in the countryside and had land. The communists took their land and my grandparents made sacrifices to buy it back from them. My grandparents had to give it away in a single day, everything they had, the cows, sheep, horses were not theirs, it belonged to the state and was no longer their property.
My grandparents had two horses - my grandfather loved them, and took care of them, and when he died in 1987, the communists came to the house and took the two horses, it was part of the family, but it wasn’t ours."" - School Teacher","'Bunicii mei erau la ţară şi aveau pământ. Comuniștii le-au luat pământul, iar bunicii au făcut sacrificii pentru a-l putea cumpăra înapoi de la stat. Ei au trebuit să dea într-o singură zi, tot ce aveau agonisit, vacile, oile, caii nu mai erau ale lor, de acum erau ale statului și nu mai era proprietatea lor.
Bunicii mei aveau doi cai - bunicul meu îi iubea și avea grijă de ei, iar când a murit în 1987, comuniștii au venit la casă și au luat cei doi cai, animalele acelea făceau parte din familie, dar brusc ne-au fost luate'' - Profesor",,
lblStolenHorseQ,Grandpa's Horses,Caii bunicului,,
lblStolenHorseAns,"""My grandparents were in the countryside and had land. The communists took their land and my grandparents made sacrifices to buy it back from them..."" - School Teacher","'Bunicii mei erau la ţară şi aveau pământ. Comuniștii le-au luat pământul, iar bunicii au făcut sacrificii pentru a-l putea cumpăra înapoi de la stat.",,
lblHousePeopleAnsPolLong,"In the wake of a devastating 1977 earthquake, Ceaușescu seized the opportunity to destroy entire neighborhoods (more than 1450 ha) in Bucharest to create new Communist Party headquarters and housing for visiting diplomats and politicians. This headquarters, named the ""People's House"" was constructed on a hill and used roughly 30% of Romania's GDP and used up significant amounts of Romania's natural resources. The 12 story tall 'house' was lit up with ornate chandieliers despite light bulbs' scarcity. Due to the land the palace and the boulevard leading to it took, roughly 9,300 homes were demolished, leaving 50,000 families displaced and homeless . Note that the building was constructed as the ""People's House"", but was renamed after the success of the revolution in 1989 as the ""Palace of Parliament"" as it is known today.","În urma cutremurului devastator din 1977, Ceaușescu a profitat de context pentru a iniția distrugerea  de cartiere întregi (peste 1450 hectare) din București pentru a crea un nou sediu al Partidului Comunist, alături de  locuințe pentru diplomați și politicieni. Acest sediu, numit ""Casa Poporului"", a fost construit pe un deal și a folosit aproximativ 30% din PIB-ul României, consumând cantități semnificative din resursele naturale ale României. 'Casa' de doar 12 etaje   a fost luminată de candelabre luxoase într-o perioadă în care familiile puteau obține doar un singur bec pe lună. Planul de construcție viza dezvoltarea clădirii și a unui bulevard amplu ceea ce a condus la demolarea a aproximativ 9.300 de case, iar în plan social s-a tradus în  50.000 de familii strămutate și fără adăpost. Clădirea a fost construită sub denumirea de ""Casa Poporului"", dar a fost redenumită după Revoluției din 1989 drept ""Palatul Parlamentului"", așa cum este cunoscută astăzi.",,
lblHousePeopleQ,What was the People's House?,Ce a fost Casa Poporului? ,,
lblHousePeopleAns,"The People's House was constructed on a hill for which roughly 9,300 homes were demolished, leaving 50,000 families displaced and homeless.","Casa Poporului a fost construită în urma demolării abuzive a aproximativ 9.300 de case, lăsând 50.000 de familii strămutate și fără adăpost.",,
lblJulyAnsPolLong,"The July Theses were a set of ideas and rules announced by Nicolae Ceaușescu in July 1971 after he visited China and North Korea, two countries with very strict communist systems. He was impressed by how those countries governments controlled their people and wanted to bring similar ideas to Romania.
 The July Theses included:
* More censorship of books, newspapers, TV, and movies. 
* Less freedom of speech — people were not allowed to criticize the government.
* Tighter control over education — schools had to teach communist ideas and praise the Ceaușescu family.
* More political propaganda — the media had to constantly show support for the Communist Party.
* Increased focus on nationalism — teaching that Romania was great and strong because of its leaders.
* Restrictions on Western culture — music, clothes, and ideas from other countries were discouraged or banned.
The July Theses marked the start of a harsher, more repressive period in Romania. Ceaușescu wanted to control what people thought, said, and listened to. This shift made life even harder for many Romanians, especially for students, writers, and artists who wanted more freedom.","Tezele din iulie au reprezentat un set de idei și reguli enunțate de Nicolae Ceaușescu în iulie 1971, inspirate de vizitelor de lucru din China și Coreea de Nord.Două țări cu sisteme comuniste foarte stricte.  Ceaușescu și-a dorit să impună un sistem de control similar în România.
 Tezele din Iulie includ:
* Mai multă cenzură a cărților, ziarelor, programelor TV și filmelor. 
* Mai puțină libertate de exprimare — oamenii nu aveau voie să critice guvernul.
* Control mai strict asupra educației — școlile au trebuit să îndoctrineze în direcția cultului perosnalității familiei Ceaușescu.
* Mai multă propagandă politică — mass-media era  portavoceaa  Partidul Comunist.
* Accentul pe naționalism în propagandă — promovarea falselor narațiuni istorice.
* Restricții privind cultura occidentală — muzică, haine și idei din Vest au fost restricționate sau interzise.
Tezele din iulie au marcat începutul unei perioade mai dure și  mai represive din punctu de vedere cultural în România. Statul comunist a vrut să controleze ceea ce cetâțenii gândeau, spuneau şi ascultau. Această schimbare a făcut viața și mai grea pentru mulți români, în special pentru studenți, scriitori și artiști care sperau la menținerea unei minime libertăți.",,
lblJulyQ,What did the July Theses entail?,Ce a determinat apariția Tezelor din Iulie?,,
lblJulyAns,"The July Theses were a set of ideas and rules announced by Nicolae Ceaușescu in July 1971 after he visited China and North Korea, two countries with very strict communist systems.","Tezele din iulie au reprezentat un set de idei și reguli enunțate de Nicolae Ceaușescu în iulie 1971, inspirate de vizitele de lucru din China și Coreea de Nord.Două țări cu sisteme comuniste foarte stricte. ",,
lblWarsawAnsPolLong,"The Warsaw Pact (WP) was a military alliance formed in 1955 by the Soviet Union and several Eastern European countries in response to the formation of North Atlantic Treaty Organization (NATO) in 1949. It was meant to unify the military forces of Soviet-aligned nations under Soviet control. Romania formally joined as a satellite state in 1957. Due to it being a satellite state, Romania did have more friendly relations with the West than other WP members. However, as the USSR became more controlling in the late 60s, Romania decided to leave the Warsaw Pact in 1969, making Romania more independent within the Eastern Bloc.","EMPTY, USING OTHER ANS","Major issues here with the Warsaw pact. Please also check the background info were this comes from. So quick explantion here: WP started 1955 ended 1991, Romania was member in this until the end of the Pact.  the dates you are mentioning 1957 and 1969 stand for 1957- WP troups retreat from the romanian territory. 1969, in fact commentary of N Ceausescu of the Prague spring invasion is not exiting the WP. We were still there",Would it be fair to say that Romania became less involved with the WP in the late 60s? I believe I misinterpreted a quote originally.
lblWarsawQ,What did the Warsaw Pact entail and why did Romania leave?,TRANSLATION NEEDED,,
lblWarsawAns,It was a military alliance formed in 1955 by the Soviet Union and several Eastern European countries in response to the formation of NATO in 1949.,TRANSLATION NEEDED,,
lblAnaAnsPolLong,"The Romanian Communist Party was founded on May 8th, 1921. After World War II, the party was influenced by the Soviet Union and its leader, Joseph Stalin. The communists slowly took control by using propaganda and taking advantage of other political parties’ weaknesses. Communism officially started in Romania in 1947, when King Michael I was forced to give up the throne and the country became a communist republic.
Ana Pauker was an intellectual and was the unofficial prime minister of Romania's communist party after WWII. She was a strong believer in Stalinist ideology, a totalitarian political regime lead by Joseph Stalin. The main policies of his regime were rapid induztrialization, cultural revolution, and a reorginization of agricultural output.
While she supported Stalinism, she did not believe in the reorganization of all industries for governmental control and did allow for emigration of the Jewish population - something not seen in other communist leaders at the time. Pauker was the first woman to hold such a position in the Communist Party. In 1952, she was ousted of her position by Gheorghe Gheorghiu-Dej and was placed under arrest as a result due to the political risk she posed to Gheorghiu-Dej.","EMPTY, USING OTHER ANS",,
lblAnaQ,Who was Ana Pauker?,TRANSLATION NEEDED,,
lblAnaAns,Communism started in Romania in 1947 with Ana Pauker as the unofficial leader of the party.,TRANSLATION NEEDED,,
lblHowDidTheRegimeFall,How did the regime fall?,TRANSLATION NEEDED,,
lblWhereCeausescuAnsPolLong,"From ""December 18th-20th, 1989, when people were dying in the streets of Timisoara, Nicolae Ceaușescu made his last visit abroad"" to Tehran, Iran (Betea, n.d.). The purpose of this trip was to help negotiate a deal on oil and wheat exports between Iran and Romania (Betea, n.d.). Notably, Elena Ceaușescu did not travel with him on this trip.","EMPTY, USING OTHER ANS",,
lblWhereCeausescuAns,"He was in Tehran, Iran.",TRANSLATION NEEDED,,
lblWhereCeausescuQ,Where was Nicolae Ceaușescu?,TRANSLATION NEEDED,,
lblWhyRevoltAnsPolLong,"People revolted in December 1989 because they were fed up with years of extreme oppression, hardship, fear, and government control. Life under Nicolae Ceaușescu’s communist regime was extremely difficult —there were severe food shortages, electricity was limited, and personal freedoms did not exist. The Securitate kept people in constant fear, and anyone who spoke out could be arrested or worse.
What started as a peaceful protest quickly grew into a much larger movement as more and more people stood up against the regime’s cruelty and repression.
Years of anger and suffering finally boiled over, and the people demanded change, freedom, and an end to the dictatorship.","EMPTY, USING OTHER ANS",,
lblWhyRevoltAns,"People revolted in December 1989 because they were fed up with years of extreme oppression, hardship, fear, and government control.",TRANSLATION NEEDED,,
lblWhyRevoltQ,Why did people revolt?,TRANSLATION NEEDED,,
lblWhatWasRevolutionAnsPolLong,"The Revolution of 1989 was a major turning point in Romanian history. It began with protests in Timișoara, sparked by the government’s attempt to deport pastor László Tőkés. These protests quickly spread across the country, growing into a nationwide uprising against the brutal regime of Nicolae Ceaușescu. 
Over the course of a week, demonstrations turned violent as the Securitate tried to crush the revolt. Over 1,000 people were killed and thousands more were injured during the clashes. Eventually, the pressure became too much for the Securitate. Nicolae and Elena Ceaușescu were arrested, tried in a military court, and executed on December 25th, 1989. The revolution brought an end to decades of dictatorship and marked the beginning of Romania’s transition to democracy.","EMPTY, USING OTHER ANS",,
lblWhatWasRevolutionAns,The Revolution of 1989 brought an end to decades of dictatorship and marked the beginning of Romania’s transition to democracy.,TRANSLATION NEEDED,,
lblWhatWasRevolutionQ,What was the Revolution of 1989?,TRANSLATION NEEDED,,
lblCeausescusRise,Rise of Ceaușescus,TRANSLATION NEEDED,,
lblSoviet,Era of Sovietization,TRANSLATION NEEDED,,
lblNicolaeAnsPolLong,"Nicolae Ceaușescu was the leader of communist Romania from 1965-1989. At first, some people supported him because he spoke out against the Soviet Union, which made him seem independent and strong. However, over time, he became more authoritarian —  he demanded total control and didn’t allow others to disagree with him. Under Ceaușescu’s rule, life became very difficult for Romanian citizens. There were severe food and energy shortages, and people had almost no freedom of speech or movement. A powerful secret police force called the Securitate spied on citizens, creating an atmosphere of fear and mistrust. Ceaușescu also forced the country into huge construction projects, like the Palace of the Parliament in Bucharest — one of the largest governmental buildings in the world. These projects cost billions of euros and were meant to show off his power, while most people lived in poverty and hardship. Today, Ceaușescu is remembered as one of Europe’s most repressive and controlling dictators.","EMPTY, USING OTHER ANS",,
lblNicolaeQ,Who was Nicolae Ceaușescu?,TRANSLATION NEEDED,,
lblNicolaeAns,Leader of communist Romania from 1965-1989 who is remembered as one of Europe’s most repressive and controlling dictators.,TRANSLATION NEEDED,,
lblElenaAnsPolLong,"Elena Ceaușescu was the wife of Nicolae Ceaușescu. Over time, she became one of the most powerful people in the country, even though she had little education and no real qualifications. Despite this, she was given high-ranking government positions, including Deputy Prime Minister and head of several scientific institutions. She was also president of Scientific Council of the Central Institute of Chemistry, but most of her academic titles and awards were fake or exaggerated. Her power came mainly from her close relationship with Nicolae as his “direct correspondent,” she used it to promote herself and control others. Elena was known for being arrogant, strict, and deeply disliked by many Romanians. She was heavily involved in government decisions and is believed to have helped create the harsh policies that led to poverty, fear, and repression during the 1980s.","EMPTY, USING OTHER ANS",,
lblElenaQ,Who was Elena Ceaușescu?,TRANSLATION NEEDED,,
lblElenaAns,"Wife of Nicolae Ceaușescu and one of the most powerful people in the country, even though she had little education and no real qualifications.",TRANSLATION NEEDED,,
lblGheorgheAnsPolLong,"Gheorghe Gheorghiu-Dej was a senior member of the Communist Party but was displeased with Pauker's loose understanding of Stalinism and would become the prime minister of Romania in 1952. During his time, he tightened his grip on Romania due to his strict following of Marxism. He sought to distance Romania from the USSR after a high ranking Soviet Officer denounced the crimes Stalin had committed. Gheorghiu-Dej was General Secretary of Romania's Communist Party from 1952 until his death in 1965.","EMPTY, USING OTHER ANS",,
lblGheorgheQ,Who was Gheorghe Gheorghiu-Dej?,TRANSLATION NEEDED,,
lblGheorgheAns,General Secretary of Romania's Communist Party from 1952 until his death in 1965.,TRANSLATION NEEDED,,
lblMarxismAnsPolLong,"Marxism is a way of thinking about society, economics, and politics that was created by Karl Marx. It is the idea that society is divided into two main groups: the rich (bourgeoisie) – who own businesses, land, and factories - and the working class (proletariat) – who work for the rich but don’t own much themselves. Marx believed this wasn’t fair and believed that the workers should come together, take control of the economy, and share things more equally. The goal of Marxism is to create a society where everyone is equal, and there’s no rich or poor. 
Sovietization stemmed from Marxism, as the Soviet Union attempted to put Marx’s ideas into practice by abolishing private property, redistributing wealth, and establishing a state-controlled economy in the name of equality and socialism.","EMPTY, USING OTHER ANS",,
lblMarxismQ,What is the Marxism ideology and how did Sovietization stem from it?,TRANSLATION NEEDED,,
lblMarxismAns,"The goal of Marxism is to create a society where everyone is equal, and there’s no rich or poor.",TRANSLATION NEEDED,,
lblPostWW2AnsPolLong,"After World War II, Romania fell under heavy Soviet influence. Under Gheorghe Gherogiu-Dej, the country underwent a process of ""Sovietization,"" which promoted Stalinist policies such as collectivization of agriculture and repression of any anti-ideology actions. 
However, in the 1960s, after the death of Joseph Stalin and the subsequent de-Stalinization under Khrushchev, Romania began to distance itself from the USSR’s direct control. While still maintaining a Marxist-Leninist political structure, Gheorgiu-Dej emphasized national sovereignty and pursued a more independent foreign policy. Romania improved its relations with neighboring socialist countries such as Bulgaria and Yugoslavia, and advocated for denuclearization and greater autonomy within the Eastern Bloc.","EMPTY, USING OTHER ANS",,
lblPostWW2Q,What was post WWII Romania like?,TRANSLATION NEEDED,,
lblPostWW2Ans,"Romania underwent a process of ""Sovietization,"" which promoted Stalinist policies such as collectivization of agriculture and repression of any anti-ideology actions.",TRANSLATION NEEDED,,
year5,1990,1990,,
year4,1980,1980,,
year3,1970,1970,,
year2,1960,1960,,
year1,1950,1950,,
year0,1940,1940,,
lblTitle,Echoes of the Past: Uncovering Stories of Romanian Communism,TRANSLATION NEEDED,ready to translate! ,
lblSubtitle,,,This is empty because we are planning on not using a subtitle,
lblFoodTN,"""[I had] bananas in the 80s, sometimes I had a banana in school, and there were five or six children who lived in orphanages, there were also gypsies and some of them had bananas, some not, and they had asked my to give them the shell... and give to them to taste the fruit"" - Museum Curator",TRANSLATION NEEDED,,
lblUniformTN,"""I know that the shoes that we've had, they were of very poor quality. We call them ""dragasani""...they were so bad that if you wore them two or three time, they would fall apart."" - Museum Curator",TRANSLATION NEEDED,,
lblNecessitiesTN,"""Then we had one type of soaps, maximum two types of soap, today we have a multitude of soaps… Life has changed radically..and the abundance of products we have in all the shops."" - History Teacher",TRANSLATION NEEDED,,
lblNeighborhoodTN,NEED,TRANSLATION NEEDED,,
lblHandwritingTN,"""Writing for me was a subject of coping, but also a little strain."" - Journalist",TRANSLATION NEEDED,,
lblFreetimeTN,"If communism came back, you wouldn't get to enjoy field trips or free time the way you want anymore. Instead, children had to do forced ""volunteer"" work and help with chores for the community, whether they liked it or not.",TRANSLATION NEEDED,,
lblCarsTN,"""And after waiting a few years for that, because it was a great achievement as a common Romanian, not those from the Communist Party, to get a car. So after a few years of waiting, we got our own car, Romanian car, Dacia 1300."" - Museum Director",TRANSLATION NEEDED,,
lblMediaTN,"""So, we didn't have TV, you know. It was only for two hours during the evening when the whole program was only about Ceaușescu. It was nothing else."" - Museum Director",TRANSLATION NEEDED,,
lblClassesTN,"""The regime stopped the evolution of society and people, from creative, artistic, and spiritual position. In Romanian spiritual means soul, thoughts, personal life, has the connotation of religion as well."" -  AFDPR Member",TRANSLATION NEEDED,,
lblThenAndNowTitle,What do you have now that you would not have under Ceaușescu's regime?,TRANSLATION NEEDED,,
lblUniformTNPolLong,"If communism came back, you wouldn't be able to express your individuality through clothing at school, as all students were required to wear standard uniforms.","EMPTY, USING OTHER ANS",,
tableLayoutUniformTNDPTitle,School Uniforms,No Title,,
lblNecessitiesTNPolLong,"If communism came back, you wouldn't be able to walk into a store and find things like shampoo, soap, or toilet paper. There weren't enough good-quality products produced for people, so even basic things were hard to get.","EMPTY, USING OTHER ANS",,
tableLayoutNecessitiesTNDPTitle,Basic Necessities,No Title,,
lblFoodTNPolLong,"If communism came back, you would not be able to get whichever food or snacks you would like at any time. Food was highly regulated, and getting enough to eat was often really hard due to the small rations. The rations consisted of basic ingredients like bread, cheese, meat, butter, sugar, flour, and oil. Fresh fruits and vegetables were more difficult to get as they only came from the countryside towns.","EMPTY, USING OTHER ANS",,
tableLayoutFoodTNDPTitle,Food,No Title,,
lblNeighborhoodTNPolLong,"If communism came back, your home wouldn't be a safe place anymore. The government could move you and your family out at any time to make room for big construction projects. Whole neighborhoods were torn down to build fancy buildings for important party leaders to live in. This picture shows the descruction of the Uranus-Izvor neighborhood to make room for the Palace of Parliament.","EMPTY, USING OTHER ANS",,
tableLayoutNeighborhoodTNDPTitle,Neighborhoods,No Title,,
lblHandwritingTNPolLong,"If communism came back, you wouldn't be able to write and express yourself however you wanted. There were strict rules about handwriting in calligraphy, and writing was about showing literacy and ""smarts"" through writing techniques.","EMPTY, USING OTHER ANS",,
tableLayoutHandwritingTNDPTitle,Handwriting,No Title,,
